idProfesor;NIF;nombre;apellido1;apellido2;email;direccion;codigoPostal;municipio;provincia;categoria
PR032;76367475V;Josefa;Villena;Hombrados;josefa.villena.hombrados@ucm.com;Calle de Alonso de Mendoza , 161;28043;Boadilla del Monte;Madrid;PDI predoctoral
PR033;64389449W;Jose Antonio;Bonilla;Abello;jose.antonio.bonilla.abello@ucm.com;Calle de Albalate del Arzobispo , 51;28016;Navalafuente;Madrid;Ayudantes Doctores
PR034;47783567D;Jose Luis;Yague;Liern;jose.luis.yague.liern@ucm.com;Calle Atocha , 133;28023;Puebla de la Sierra;Madrid;Ayudantes Doctores
PR035;13616538V;Javier;Exposito;Orejuela;javier.exposito.orejuela@ucm.com;Calle los Acebos , 138;28086;Valdemaqueda;Madrid;Titulares Universidad
PR036;78722469N;Isabel;Chaves;Cantisano;isabel.chaves.cantisano@ucm.com;Calle de Alcudia , 14;28006;San Fernando de Henares;Madrid;Catedráticos de Escuela Universitaria
PR037;45405804R;Jesus;Cerezo;Esquer;jesus.cerezo.esquer@ucm.com;Calle Armonía , 61;28087;Robledo de Chavela;Madrid;Contratados Doctores
PR038;25187565W;Francisco Javier;Aguilera;Pavlova;francisco.javier.aguilera.pavlova@ucm.com;Calle Acacia , 53;28014;Boadilla del Monte;Madrid;Catedráticos de Universidad
PR039;19655057F;Ana Maria;Guillen;Bembibre;ana.maria.guillen.bembibre@ucm.com;Pasaje Almendro del Paular , 167;28071;Puentes Viejas;Madrid;Catedráticos de Universidad
PR040;29987297T;Carlos;De Las Heras;Orrego;carlos.de.las.heras.orrego@ucm.com;Calle del Alcalde Ramón del Yerro Ordóñez , 135;28011;El Molar;Madrid;Eméritos
PR041;22835810F;Daniel;De La Rosa;Gaudes;daniel.de.la.rosa.gaudes@ucm.com;Calle del Alcalde Pablo Durán y Pérez de Castro , 2;28050;Fuentidueña de Tajo;Madrid;Ayudantes Doctores
PR042;63215069W;Maria Dolores;Casanova;Ocasar;maria.dolores.casanova.ocasar@ucm.com;Calle de las Arenas , 161;28083;Braojos de la Sierra;Madrid;Contratados Doctores Interinos
PR043;83480230A;Maria Pilar;Bejarano;De La Piedad;maria.pilar.bejarano.de.la.piedad@ucm.com;Calle Aldea del Fresno , 105;28071;Coslada;Madrid;Contratados Doctores Interinos
PR044;19206079I;Miguel;Silva;Rose;miguel.silva.rose@ucm.com;Calle de Asunción , 173;28049;Bustarviejo;Madrid;Asociado Interino
PR045;66989687K;Maria Teresa;Valderrama;Ruperez;maria.teresa.valderrama.ruperez@ucm.com;Plaza de Antonio Chenel Antoñete , 152;28014;Lozoyuela-Navas-Sieteiglesias;Madrid;Titulares Universidad
PR046;47970524A;Ana;Padron;Balada;ana.padron.balada@ucm.com;Calle de Argentona , 179;28002;Boadilla del Monte;Madrid;Titulares Universidad
PR047;76965754O;Rafael;Figueroa;Casal;rafael.figueroa.casal@ucm.com;Calle de la Aeronave , 37;28004;Colmenarejo;Madrid;PDI predoctoral
PR048;48034341Q;Jose Manuel;Nevado;Veras;jose.manuel.nevado.veras@ucm.com;Calle Arlanza , 170;28001;Ajalvir;Madrid;Catedráticos de Universidad
